folder	size in KB	description, when missing you can find the query in git commit history
media_junge_freiheit	81716	
media_jungewelt	22944	
media_krone_at	74456	
media_mdraktuell	83528	
media_neues_deutschland	46144	
media_ntv	31016	
media_nzz	138040	
media_pi_news	740	
media_rbb	42388	
media_rt_deutsch	57416	
media_spiegel	613704	
media_stern	97176	
media_sueddeutsche	343228	
media_swraktuell	4868	
media_t_online	6240	
media_tagesschau	292908	
media_tagesspiegel	241460	
media_taz	176152	
media_tichyseinblick	96916	
media_waz	32704	
media_welt	498056	
media_zdf	126184	
media_zdf_heute	25876	
media_zeit	333972	
media2_20min	10196	
media2_achgut	8020	
media2_bild	84876	
media2_blick_ch	9096	
media2_br24	4228	
media2_cicero	5080	
media2_de_kurier	2700	
media2_derstandard	18136	
media2_dpa	1772	
media2_dwn	1884	
media2_epochtimes	14796	
media2_faz	17700	
media2_focus	55092	
media2_freitag	7304	
media2_huffingtonpost_de	100	
media2_jouwatch	15396	
media2_junge_freiheit	14864	
media2_jungewelt	4864	
media2_kenfm	1392	
media2_krone_at	7968	
media2_mdraktuell	15104	
media2_neues_deutschland	8864	
media2_ntv	6112	
media2_nzz	27176	
media2_pi_news	28	
media2_politikversagen	664	
media2_rbb	8760	
media2_rt_deutsch	10540	
media2_smopo	428	
media2_spiegel	123772	
media2_sputniknews	5892	
media2_stern	19648	
media2_sueddeutsche	66584	
media2_swraktuell	1040	
media2_t_online	988	
media2_tagesschau	58944	
media2_tagesspiegel	60544	
media2_taz	42364	
media2_theeuropean	796	
media2_tichyseinblick	24488	
media2_unzensuriert_at	1880	
media2_unzensuriert_de	512	
media2_voiceofeurope	27932	
media2_waz	5392	
media2_welt	86716	
media2_zdf	27376	
media2_zdf_heute	5272	
media2_zeit	72164	
media3_20min	187736	
media3_achgut	25764	
media3_bild	929488	
media3_blick_ch	35024	
media3_br24	42736	
media3_cicero	17684	
media3_de_kurier	1668	
media3_derstandard	80344	
media3_dpa	144160	
media3_dwn	2472	
media3_epochtimes	36676	
media3_faz	272636	
media3_focus	179728	
media3_freitag	22332	
media3_huffingtonpost_de	956	
media3_jouwatch	61824	
media3_junge_freiheit	56996	
media3_jungewelt	17044	
media3_kenfm	9992	
media3_krone_at	43564	
media3_mdraktuell	64964	
media3_neues_deutschland	4148	
media3_ntv	27776	
media3_nzz	183456	
media3_pi_news	800	
media3_politikversagen	6244	
media3_rbb	2176	
media3_rt_deutsch	134564	
media3_smopo	1324	
media3_spiegel	434992	
media3_sputniknews	17940	
media3_stern	88296	
media3_sueddeutsche	1727356	
media3_swraktuell	15108	
media3_t_online	11472	
media3_tagesschau	431356	
media3_tagesspiegel	290080	
media3_taz	186048	
media3_theeuropean	7376	
media3_tichyseinblick	90872	
media3_unzensuriert_at	7764	
media3_unzensuriert_de	1380	
media3_voiceofeurope	23900	
media3_voiceofEurope	39328	
media3_waz	21712	
media3_welt	999644	
media3_zdf	208560	
media3_zdf_heute	44940	
media3_zeit	327796	
